PROJECT_TITLE,NIH_SPENDING_CATS
PGC-1alpha and Pitx3 as individual and combined targets for neuroprotection,Aging; Biotechnology; Brain Disorders; Gene Therapy; Genetics; Neurodegenerative; Neurosciences; Parkinson's Disease; 
Vascular communication in metastatic brain colonization,Breast Cancer; Cancer; Neurosciences; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
CANCER AND INFLAMMATION GENETICS,Biotechnology; Breast Cancer; Cancer; Cervical Cancer; Clinical Research; Genetic Testing; Genetics; Human Genome; Pediatric; Pediatric Cancer; Prevention; Prostate Cancer; Rare Diseases; Urologic Diseases; 
Targeting the DNA Damage Response for the Treatment of Herpes Simplex Labialis,Ataxia Telangiectasia; Dental/Oral and Craniofacial Disease; Genetics; Infectious Diseases; Neurodegenerative; Rare Diseases; Sexually Transmitted Diseases/Herpes; 
DNA Sequencing,Biotechnology; Cancer; Genetics; 
CDK8 regulation in alcoholic liver disease,"Alcoholism, Alcohol Use and Health; Chronic Liver Disease and Cirrhosis; Digestive Diseases; Liver Disease; Substance Abuse; "
CRCNS:Dissecting brain-computer interfaces:a manifold & feedback-control approach,Assistive Technology; Bioengineering; Neurosciences; Rehabilitation; 
Biomolecular Recognition and Binding Mechanisms,Cancer; 
Managing Heavy Drinking to Avoid Impaired Driving: A Study of Interlock Users,"Alcoholism, Alcohol Use and Health; Behavioral and Social Science; Clinical Research; Substance Abuse; "
"Glycosphingolipids,Glycosyltransferases and Cardiovascular disease",Aging; Atherosclerosis; Cardiovascular; Heart Disease; Heart Disease - Coronary Heart Disease; Prevention; 
Molecular Mechanisms of Neural Crest-Related Heart Defects,Cardiovascular; Congenital Structural Anomalies; Heart Disease; Neurosciences; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Prevention; 
Altered Copper Metabolism as Theranostic Biomarker in Alzheimer's Disease,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Dementia; Diagnostic Radiology; Digestive Diseases; Liver Disease; Neurodegenerative; Neurosciences; Prevention; 
Rapid Identification and Validation of Human Craniofacial Development Genes,Biotechnology; Clinical Research; Congenital Structural Anomalies; Dental/Oral and Craniofacial Disease; Genetics; Human Genome; Pediatric; 
Potentiometric dyes and membrane permeability,Bioengineering; Neurosciences; 
George M. O'Brien Kidney Research Core Centers,Aging; Cardiovascular; Clinical Research; Genetics; Human Genome; Hypertension; Kidney Disease; 
Intestinal Immune Regulation by IgG and FcRn,Autoimmune Disease; Cancer; Digestive Diseases; Inflammatory Bowel Disease; Prevention; 
Metabolomic predictors of insulin resistance and diabetes,Clinical Research; Diabetes; Genetics; Human Genome; Nutrition; Obesity; Prevention; 
RESEARCH CORE,Prevention; Rural Health; 
Training in Molecular& Genetic Epidemiology of Cancer,Cancer; Genetics; Prevention; 
Cocaine abuse and plasticity in the lateral hypothalamus,Brain Disorders; Drug Abuse (NIDA only); Neurosciences; Substance Abuse; 
Neurobehavioral Liabilities of Precursive Risk for SUDS in Children,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Drug Abuse (NIDA only); Mental Health; Neurosciences; Pediatric; Pediatric Research Initiative; Prevention; Substance Abuse; 
Randomized trial of inhaled nitric oxide to treat acute pulmonary embolism,Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Hematology; Lung; Patient Safety; 
SENIOR LEADERSHIP,Cancer; 
Immunologic Monitoring and Cellular Products Laboratory,Cancer; Clinical Research; Clinical Trials and Supportive Activities; Prevention; 
Biostatistics Shared Resource,Cancer; 
Modeling rare thoracic tumors aided by iPS technology,Cancer; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; 
The Outer Surface of Vibrio Cholerae,Biodefense; Biotechnology; Digestive Diseases; Emerging Infectious Diseases; Immunization; Infectious Diseases; Vaccine Related; 
Alternative Vacuolar Targeting Mechanisms in Yeast,Genetics; 
Diagnosing and Targeting Mechanisms of Diuretic Resistance in Heart Failure,Cardiovascular; Clinical Research; Heart Disease; Kidney Disease; 
Alcohol and cholesterol modulation of GIRK channels,"Alcoholism, Alcohol Use and Health; Substance Abuse; "
TBD,Basic Behavioral and Social Science; Behavioral and Social Science; Clinical Research; Comparative Effectiveness Research; Health Services; Prevention; Rural Health; Sexual and Gender Minorities (SGM/LGBT*); 
The Consequences of Reinfection with M. tuberculosis,HIV/AIDS; Immunization; Infectious Diseases; Orphan Drug; Prevention; Rare Diseases; Tuberculosis; Vaccine Related; 
Cell-specific gene delivery methods for expression and silencing in the lung,Acute Respiratory Distress Syndrome; Biotechnology; Gene Therapy; Genetics; Lung; Rare Diseases; 
Molecular Basis of Blood Coagulation Regulation,Biotechnology; Genetics; Hematology; 
CHARTING THE EPIGENOMIC LANDSCAPE OF HUMAN TRANSPOSABLE ELEMENTS,Biotechnology; Genetics; Human Genome; 
A Tissue Engineered Human Kidney Microphysiological System,Bioengineering; Cancer; Clinical Research; Kidney Disease; Regenerative Medicine; 
Project 3 Function of Kindlin-3 in blood and endothelial cells,Eye Disease and Disorders of Vision; Hematology; 
Retinoid regulation of hepatic innate immunity.,"Alcoholism, Alcohol Use and Health; Chronic Liver Disease and Cirrhosis; Digestive Diseases; Emerging Infectious Diseases; Hepatitis; Hepatitis - C; Infectious Diseases; Liver Disease; Nutrition; Substance Abuse; "
Deep Sequencing to Identify B-Cell Precursors of HIV-1 Neutralizing Antibodies,HIV/AIDS; Immunization; Prevention; Vaccine Related; Vaccine Related (AIDS); 
Early to late gadolinium enhancement cardiac MRI in ischemic and non-ischemic cardiomyopathies,Bioengineering; Cardiovascular; Clinical Research; Diagnostic Radiology; Heart Disease; Heart Disease - Coronary Heart Disease; 
The role of rapid BLA glutamatergic signaling in reward-seeking decisions,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Drug Abuse (NIDA only); Neurosciences; Substance Abuse; 
ADMINISTRATIVE CORE,Obesity; Pediatric; 
Developing Reliable In Silico Methods to Design Small Molecules Targeting RNA,Bioengineering; Biotechnology; Genetics; Networking and Information Technology R&D; 
Role of the SphK1/S1P Signaling Axis in the Pathogenesis of Pulmonary Arterial Hypertension,Lung; Rare Diseases; 
Epidemiology of Biomarkers of Risk and Progression in LOAD,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease Related Dementias (ADRD); Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Brain Disorders; Clinical Research; Dementia; Diagnostic Radiology; Neurodegenerative; Neurosciences; Prevention; Vascular Cognitive Impairment/Dementia; 
Intracoronary imaging of plaque collagen in patients,Atherosclerosis; Bioengineering; Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Diagnostic Radiology; Heart Disease; Heart Disease - Coronary Heart Disease; 
Critical Period Plasticity Following Neonatal Brain Injury,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Infant Mortality/ (LBW); Injury (total) Accidents/Adverse Effects; Neurosciences; Pediatric; Perinatal - Birth - Preterm (LBW); Perinatal Period - Conditions Originating in Perinatal Period; 
Peptidic foldamers as specific protein ligands,Biotechnology; 
Electrophysiological basis of sour taste transduction,Neurosciences; Nutrition; 
Protective Role of Intracellular S1P in Lung Injury,Acute Respiratory Distress Syndrome; Genetics; Hematology; Infectious Diseases; Lung; Orphan Drug; Rare Diseases; Septicemia; 
Development of Silk Fibroin Grafts for Reconstruction of Pathological Bladders,Bioengineering; Biotechnology; Regenerative Medicine; Urologic Diseases; 
Live Cell Imaging Shared Resource,Bioengineering; Cancer; 
Adminstrative Core,Cardiovascular; Heart Disease; Heart Disease - Coronary Heart Disease; 
Comparing ankle arthrodesis to ankle arthroplasty,Arthritis; Bioengineering; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Pain Conditions - Chronic; Pain Research; 
Humoral and cellular immunity in polyomavirus-linked Merkel cell carcinoma,Cancer; Clinical Research; HIV/AIDS; Infectious Diseases; Rare Diseases; 
Control of Microtubule Dynamics for Spindle Assembly and Chromosome Segregation,Genetics; 
Detection Of Drugs Of Abuse In Alternative Biological Fluids And Tissues,Behavioral and Social Science; Clinical Research; Drug Abuse (NIDA only); HIV/AIDS; Prevention; Substance Abuse; 
Data Management and Biostatistics Core,Clinical Research; Infectious Diseases; Vector-Borne Diseases; 
Dissection of the neural circuitry of short-term memory in behaving mice,Brain Disorders; Mental Health; Neurosciences; 
The role of CD147 in ischemic inflammation and brain injury,Aging; Brain Disorders; Neurosciences; Stroke; 
Activating mutations in MEK: from molecules to morphologies,Pediatric; 
Anti-Inflammatory Approaches,Biotechnology; Genetics; Kidney Disease; Organ Transplantation; Transplantation; 
IGF::OT::IGF R&D- DOSE DE-ESCALATION TRIAL TO IDENTIFY THE LOWEST COMMERCIALLY AVAILABLE DOSE OF LINACLOTIDE THAT MAINTAINS BIOACTIVITY IN RECTAL MUCOSA,Cancer; Clinical Research; Digestive Diseases; 
Animal Models Core,Emerging Infectious Diseases; Infectious Diseases; 
CCTN -  MALE SITES - CLINICAL EVALUATION OF NESTORONE GEL AND TESTOSTERONE,Clinical Research; Clinical Trials and Supportive Activities; Contraception/Reproduction; Prevention; 
Mechanisms of sphingolipid analogue drug FTY720-mediated NSCLC tumor suppression,Cancer; Lung; Lung Cancer; 
Frame of Reference Effects in Health Disparities Research,Aging; Basic Behavioral and Social Science; Behavioral and Social Science; Clinical Research; 
Pathobiology of PBMC Gene Expression Signatures in Polyarticular and Oligoarticul,Arthritis; Autoimmune Disease; Genetics; Pediatric; Rare Diseases; Rheumatoid Arthritis; 
Neural circuit mechanisms of odor localization in mice,Neurosciences; 
Inter-American Training for Innovations in Emerging Infectious Diseases,Bioengineering; Emerging Infectious Diseases; Infectious Diseases; Rare Diseases; Tuberculosis; Vector-Borne Diseases; 
Apolipoprotein B and Control of S. aureus Quorum Sensing,Antimicrobial Resistance; Emerging Infectious Diseases; Genetics; Infectious Diseases; 
Tailored Treatment to Enhance Risk Perception in Sleep Apnea,Behavioral and Social Science; Clinical Research; Lung; Sleep Research; 
Targeting neutralizing epitopes in the MPER of HIV Env,Biotechnology; HIV/AIDS; Immunization; Infectious Diseases; Prevention; Vaccine Related; Vaccine Related (AIDS); 
Telemonitoring Enhanced Support for Depression Self Management,Behavioral and Social Science; Clinical Research; Depression; Health Services; Mental Health; 
Improving long-acting reversible contraception access for adolescents,Adolescent Sexual Activity; Behavioral and Social Science; Clinical Research; Contraception/Reproduction; Health Services; Pediatric; Prevention; Teenage Pregnancy; 
The evolution and spread of virulent infectious disease,Genetics; Infectious Diseases; 
3BNC117 mAb in HIV-infected subjects on combination ART,Clinical Research; Clinical Trials and Supportive Activities; HIV/AIDS; Infectious Diseases; Prevention; 
Cancer Center Core Support Grant,Breast Cancer; Cancer; Clinical Research; Genetics; HIV/AIDS; Human Genome; Prevention; 
EFFECT OF IMPROVED GRAFT COMPLIANCE MATCHING ON INTIMAL HYPERPLASIA,Assistive Technology; Bioengineering; Cardiovascular; Transplantation; 
Quasispecies dynamics in arbovirus persistence emergence and fitness,Biodefense; Biotechnology; Emerging Infectious Diseases; Genetics; Infectious Diseases; Rare Diseases; Vector-Borne Diseases; West Nile Virus; 
Diet and Health Behavior Change to Improve Bone Health,Aging; Behavioral and Social Science; Cardiovascular; Clinical Research; Nutrition; Osteoporosis; Prevention; 
RESEARCH PROJECT III: Histone H3K9 Methylation and Trophoblast Lineage Developmen,Contraception/Reproduction; Genetics; Pediatric; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Embryonic - Human; Stem Cell Research - Embryonic - Non-Human; Stem Cell Research - Induced Pluripotent Stem Cell; Stem Cell Research - Induced Pluripotent Stem Cell - Human; Stem Cell Research - Nonembryonic - Non-Human; 
Integrating Genetics and Social Sciences Annual Conference,Basic Behavioral and Social Science; Behavioral and Social Science; Genetics; 
The Role of Akt in Cell Survival and Cell Growth,Aging; Cancer; Digestive Diseases; Liver Cancer; Liver Disease; Rare Diseases; 
"Carbohydrate force fields for structure, dynamics and molecular recognition",Immunization; Infectious Diseases; Urologic Diseases; Vaccine Related; 
Neuroimaging study of risk factors for adolescent bipolar disorder,Attention Deficit Disorder (ADD); Basic Behavioral and Social Science; Behavioral and Social Science; Bipolar Disorder; Brain Disorders; Clinical Research; Complementary and Alternative Medicine; Mental Health; Neurosciences; Pediatric; Prevention; Serious Mental Illness; 
Non-neoplastic cell types dictate gliomagenesis and,Brain Cancer; Brain Disorders; Cancer; Neurosciences; Rare Diseases; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; 
Hippocampal channelopathies in Fragile X Syndrome,Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Fragile X Syndrome; Intellectual and Developmental Disabilities (IDD); Mental Health; Neurosciences; Rare Diseases; 
IRF-8 as a Negative Regulator of CD11b+Gr-1+ Myeloid Cell Production and Function,Cancer; Hematology; 
Ubiquitin-dependent regulation of ribosome function in cell fate determination,Congenital Structural Anomalies; Dental/Oral and Craniofacial Disease; Pediatric; Pediatric Research Initiative; Stem Cell Research; Stem Cell Research - Embryonic - Human; 
TRIPAI: An innovative way to improve the health of infants by including fathers during prenatal care,Behavioral and Social Science; Clinical Research; HIV/AIDS; Immunization; Infant Mortality/ (LBW); Infectious Diseases; Pediatric; Pediatric AIDS; Perinatal Period - Conditions Originating in Perinatal Period; Prevention; Sexually Transmitted Diseases/Herpes; Vaccine Related; 
